age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign
0.6226415094339622,technician,married,high.school,no,no,yes,cellular,may,mon,0.27786144578313254,1
0.5849056603773585,unknown,married,unknown,unknown,yes,no,telephone,may,thu,0.21310240963855423,2
0.16981132075471694,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,0.03765060240963856,1
0.2264150943396226,admin.,married,high.school,no,no,no,telephone,jun,fri,0.26581325301204817,4
0.05660377358490565,housemaid,married,high.school,no,yes,no,cellular,jul,fri,0.14081325301204822,2
0.6415094339622641,retired,married,professional.course,no,yes,yes,cellular,jul,fri,0.45406626506024095,1
0.4528301886792453,services,married,high.school,unknown,yes,no,telephone,may,wed,0.18147590361445784,1
0.5094339622641509,admin.,divorced,university.degree,unknown,yes,no,cellular,aug,thu,0.016566265060240965,7
0.0,entrepreneur,married,university.degree,no,yes,yes,telephone,jun,wed,0.09337349397590361,4
0.2264150943396226,technician,divorced,professional.course,no,yes,yes,cellular,jul,mon,0.030873493975903613,4
0.18867924528301883,blue-collar,married,basic.9y,no,no,no,cellular,may,fri,0.3381024096385542,3
0.3396226415094339,blue-collar,single,basic.4y,no,yes,no,cellular,may,thu,0.42018072289156627,3
0.35849056603773577,blue-collar,single,basic.9y,no,yes,no,cellular,jul,thu,0.7379518072289157,1
0.6037735849056604,admin.,married,university.degree,no,no,no,cellular,aug,wed,0.4141566265060241,3
0.6415094339622641,blue-collar,married,basic.4y,no,no,yes,cellular,jul,thu,0.19804216867469882,3
0.2264150943396226,housemaid,married,high.school,no,yes,no,telephone,jun,mon,0.12725903614457834,1
0.037735849056603765,blue-collar,single,basic.9y,unknown,yes,no,cellular,jul,fri,0.1121987951807229,2
0.5471698113207547,technician,married,professional.course,no,no,yes,cellular,jul,tue,0.13253012048192772,11
0.24528301886792447,entrepreneur,single,professional.course,no,yes,no,cellular,jul,fri,0.0677710843373494,2
0.4150943396226414,admin.,married,university.degree,no,yes,no,cellular,aug,thu,0.2989457831325301,1
0.660377358490566,retired,married,basic.9y,unknown,no,no,cellular,jul,fri,1.0,3
0.4716981132075472,unemployed,single,professional.course,unknown,no,no,telephone,may,fri,0.25376506024096385,2
0.037735849056603765,unknown,single,high.school,unknown,yes,yes,telephone,jun,wed,0.3930722891566265,15
0.1132075471698113,admin.,single,high.school,no,no,yes,cellular,jul,mon,0.07454819277108433,3
0.5094339622641509,management,married,high.school,unknown,no,no,cellular,aug,wed,0.11746987951807229,1
0.39622641509433953,admin.,married,basic.9y,no,yes,no,telephone,jun,mon,0.043674698795180725,2
0.1132075471698113,technician,single,high.school,no,yes,no,cellular,may,wed,0.005271084337349397,12
0.13207547169811318,admin.,married,university.degree,no,no,no,cellular,aug,mon,0.08810240963855422,9
0.320754716981132,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,thu,0.2605421686746988,1
0.26415094339622636,unknown,divorced,high.school,unknown,yes,no,telephone,may,mon,0.05346385542168675,1
0.4339622641509433,housemaid,married,basic.6y,unknown,no,yes,cellular,jul,thu,0.10993975903614459,1
0.8490566037735848,entrepreneur,married,high.school,no,no,no,cellular,jun,wed,0.10391566265060241,2
0.037735849056603765,technician,single,university.degree,no,no,no,cellular,oct,wed,0.4871987951807229,1
0.320754716981132,self-employed,divorced,professional.course,no,no,no,cellular,jul,fri,0.6844879518072289,2
0.2264150943396226,blue-collar,single,high.school,no,yes,no,telephone,jun,wed,0.6272590361445783,1
0.13207547169811318,services,single,high.school,no,no,no,telephone,jun,wed,0.035391566265060244,2
0.16981132075471694,admin.,single,university.degree,no,yes,no,cellular,aug,thu,0.21611445783132532,1
0.16981132075471694,blue-collar,married,basic.9y,no,yes,yes,cellular,nov,mon,0.06927710843373494,1
0.1132075471698113,blue-collar,married,basic.6y,no,no,no,telephone,jun,wed,0.14984939759036145,2
0.1132075471698113,management,married,university.degree,no,no,no,cellular,nov,wed,0.05271084337349398,5
0.49056603773584906,entrepreneur,married,basic.9y,no,no,no,telephone,nov,tue,0.0,1
0.26415094339622636,blue-collar,married,unknown,unknown,no,no,cellular,jul,mon,0.2545180722891566,3
0.018867924528301883,student,single,high.school,no,yes,no,cellular,oct,fri,0.1746987951807229,1
0.1132075471698113,services,married,university.degree,no,yes,no,telephone,may,wed,0.036897590361445784,3
0.39622641509433953,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,fri,0.6799698795180723,1
0.5849056603773585,retired,married,high.school,no,yes,no,telephone,may,tue,0.4435240963855422,5
0.39622641509433953,blue-collar,married,basic.9y,no,yes,no,cellular,jul,fri,0.22213855421686748,1
0.28301886792452824,admin.,married,high.school,no,yes,no,cellular,jul,mon,0.14984939759036145,1
0.37735849056603765,technician,married,professional.course,no,yes,no,cellular,aug,wed,0.018825301204819275,9
0.18867924528301883,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,0.04292168674698796,1
0.18867924528301883,technician,married,professional.course,no,yes,no,cellular,may,mon,0.7018072289156627,1
0.7358490566037735,retired,married,high.school,no,yes,no,cellular,oct,wed,0.24171686746987953,1
0.2264150943396226,blue-collar,married,basic.9y,unknown,no,no,telephone,may,tue,0.22138554216867473,1
0.0,admin.,married,basic.9y,no,yes,no,cellular,may,wed,0.22590361445783136,1
0.0,admin.,single,high.school,no,yes,no,telephone,jul,mon,0.5421686746987951,3
0.24528301886792447,blue-collar,single,basic.6y,no,no,no,cellular,jul,tue,0.25301204819277107,3
0.5283018867924528,technician,divorced,university.degree,no,no,no,cellular,nov,mon,0.16039156626506026,1
0.13207547169811318,admin.,single,high.school,no,yes,no,cellular,nov,fri,0.04593373493975904,1
0.320754716981132,admin.,divorced,university.degree,no,yes,no,cellular,mar,fri,0.37349397590361444,2
0.6792452830188679,blue-collar,married,basic.4y,unknown,yes,no,cellular,apr,mon,0.06551204819277108,1
0.2075471698113207,admin.,single,university.degree,no,yes,no,cellular,nov,fri,0.39759036144578314,1
0.49056603773584906,admin.,single,university.degree,no,yes,no,telephone,may,tue,0.12575301204819278,1
0.49056603773584906,admin.,married,university.degree,no,yes,yes,cellular,nov,fri,0.14081325301204822,2
0.39622641509433953,blue-collar,married,basic.4y,no,yes,no,telephone,may,thu,0.2063253012048193,3
0.16981132075471694,technician,single,professional.course,no,no,no,cellular,sep,wed,0.3185240963855422,1
0.3396226415094339,management,married,university.degree,no,no,no,cellular,nov,thu,0.08132530120481928,2
0.9999999999999999,retired,married,university.degree,no,no,yes,cellular,oct,mon,0.2605421686746988,1
0.15094339622641506,admin.,married,high.school,no,yes,no,telephone,may,fri,0.06099397590361446,2
0.35849056603773577,services,single,high.school,unknown,yes,no,telephone,may,wed,0.677710843373494,5
0.6226415094339622,retired,married,university.degree,no,yes,no,cellular,aug,mon,0.26129518072289154,1
0.4339622641509433,admin.,married,high.school,unknown,no,yes,telephone,jul,thu,0.16792168674698796,5
0.37735849056603765,entrepreneur,married,university.degree,no,yes,no,cellular,nov,wed,0.5075301204819277,2
0.5094339622641509,entrepreneur,married,professional.course,unknown,no,no,cellular,may,mon,0.22063253012048195,1
0.07547169811320753,services,single,high.school,no,yes,no,cellular,may,mon,0.06701807228915663,6
0.2264150943396226,admin.,married,high.school,no,yes,no,cellular,jul,wed,0.10090361445783133,13
0.1132075471698113,blue-collar,single,unknown,no,yes,no,telephone,may,mon,0.18750000000000003,1
0.1132075471698113,admin.,married,university.degree,no,yes,no,telephone,jul,wed,0.5203313253012049,2
0.15094339622641506,admin.,single,high.school,no,yes,no,cellular,nov,mon,0.0677710843373494,1
0.35849056603773577,services,divorced,high.school,no,no,no,cellular,nov,wed,0.3493975903614458,1
0.3018867924528301,blue-collar,single,basic.4y,unknown,no,no,telephone,may,thu,0.36521084337349397,4
0.320754716981132,management,married,high.school,unknown,yes,no,cellular,may,tue,0.3953313253012048,2
0.37735849056603765,admin.,married,high.school,no,yes,no,cellular,jul,wed,0.07153614457831325,1
0.4150943396226414,blue-collar,married,basic.4y,no,yes,yes,telephone,may,tue,0.3064759036144578,2
0.2264150943396226,services,single,high.school,no,yes,no,cellular,jul,fri,0.18599397590361447,2
0.4150943396226414,blue-collar,single,basic.4y,no,no,no,telephone,may,thu,0.16265060240963858,2
0.13207547169811318,services,married,high.school,no,yes,no,cellular,may,thu,0.2605421686746988,1
0.6037735849056604,blue-collar,married,basic.4y,no,yes,yes,cellular,may,wed,0.058734939759036146,2
0.018867924528301883,services,single,basic.9y,no,yes,no,cellular,jul,wed,0.401355421686747,1
0.5471698113207547,management,married,high.school,no,no,no,cellular,nov,thu,0.16942771084337352,1
0.4716981132075472,blue-collar,married,basic.4y,unknown,no,no,telephone,jun,mon,0.12951807228915665,2
0.3018867924528301,management,married,high.school,no,yes,no,cellular,nov,fri,0.003765060240963856,4
0.018867924528301883,student,single,high.school,no,yes,no,cellular,oct,mon,0.14081325301204822,1
0.3018867924528301,admin.,divorced,basic.9y,no,no,no,cellular,nov,tue,0.1332831325301205,1
0.13207547169811318,unemployed,single,professional.course,no,yes,no,cellular,nov,thu,0.05120481927710844,1
0.07547169811320753,services,married,basic.9y,no,yes,no,telephone,oct,fri,0.1385542168674699,1
0.2075471698113207,blue-collar,married,basic.9y,no,yes,no,telephone,jun,tue,0.09337349397590361,4
0.37735849056603765,management,divorced,university.degree,no,yes,no,cellular,apr,fri,0.17168674698795183,1
0.3396226415094339,admin.,married,basic.6y,no,yes,no,telephone,jun,wed,0.2243975903614458,3
0.320754716981132,blue-collar,married,basic.6y,no,no,no,telephone,may,tue,0.008283132530120483,1
0.6792452830188679,retired,divorced,university.degree,no,yes,no,telephone,jun,fri,0.07228915662650602,4
